"V400","V401","V402"
285.87,292.1,293.75
286.5,291.3,293.36
286.3,291.07,293.08
285.84,290.97,292.98
288.51,292.2,293.08
288.44,292.54,293.16
285.43,290.75,292.75
286.28,290.1,292.63
291.63,293.17,293.21
290.51,293.31,293.26
287.47,292.05,292.97
284.68,290.45,292.52
292.06,293.37,292.98
288.68,292.94,293.12
281.74,289.43,292.37
288.15,290.77,292.43
293.16,292.95,292.76
293.12,293.28,292.77
291.2,293.77,293.03
278.58,290.09,292.83
273.31,286.17,291.87
275.97,286.61,291.79
281.2,289.38,292.17
280.32,288.43,291.81
275.92,286.54,291.28
275.93,286.24,290.95
274.7,285.87,290.8
279.05,287.11,290.78
277.3,286.92,290.77
275.68,285.37,290.32
279.26,286.01,290.14
278.71,286.74,290.27
279.88,287.7,290.25
283.54,288.62,290.32
279.04,288.25,290.65
278.97,287.01,290.1
275.32,285.5,289.93
273.51,283.97,289.18
280.32,286.63,289.68
281.97,287.23,289.68
284.45,287.72,289.59
287.05,289.07,289.89
284.57,287.69,289.45
282.13,287.07,289.44
280.5,286.03,289.1
286.55,288.76,289.62
287.01,289.03,289.72
286.38,288.21,289.37
289.18,289.58,289.75
290.58,289.81,289.81
287.94,290.32,290.01
275.42,285.34,289.29
271.75,282.93,288.58
270.9,282.43,288.4
271.44,282.35,288.16
273.77,283.52,288.26
278.86,286.17,288.86
280.76,288.13,289.28
276.09,283.9,288.17
278.83,285.74,288.58
281.86,287.04,288.79
284.13,288.76,289.2
274.34,283.86,288.27
270.9,281.65,287.57
268.92,280.91,287.36
274,282.75,287.71
280.07,285.81,288.16
284.67,287.83,288.57
274.8,283.14,287.52
271.38,281.14,286.89
271.74,281.53,287.02
270.83,281.18,286.74
269.2,280.42,286.4
269.81,280.78,286.49
271.97,281.72,286.64
274.7,282.81,286.7
276.42,283.64,286.79
278.43,283.57,286.52
284.18,286.76,287.36
272.68,281.25,286.11
271.14,280.58,285.88
266.29,278.79,285.44
264.99,278.48,285.25
266.14,278.83,285.2
