"hw.number","mean.var","max.var","min.var","length","end.date","start.date","start.doy","start.month","days.above.abs.thresh.1","days.above.abs.thresh.2","days.above.abs.thresh.3","days.above.abs.thresh.4","days.above.99th","days.above.99.5th","first.in.year","threshold","mean.var.quantile","max.var.quantile","min.var.quantile","mean.yearround.var","mean.seasonal.var","city"
32,302.292,302.62,302,5,2073-08-28,2073-08-24,235,8,5,1,0,0,0,0,0,301.4408,0.878904109589041,0.895616438356164,0.863835616438356,290.801610958904,299.871843137255,"balt"
33,301.925,302.04,301.81,2,2073-09-07,2073-09-06,248,9,2,0,0,0,0,0,0,301.4408,0.86,0.866849315068493,0.853972602739726,290.801610958904,299.871843137255,"balt"
34,302.994,303.47,302.52,5,2073-09-21,2073-09-17,259,9,5,4,0,0,0,0,0,301.4408,0.914520547945205,0.935068493150685,0.889315068493151,290.801610958904,299.871843137255,"balt"
35,302.23,302.27,302.19,2,2074-06-04,2074-06-03,153,6,2,0,0,0,0,0,1,301.4408,0.877808219178082,0.878630136986301,0.876712328767123,290.801610958904,299.871843137255,"balt"
36,304.342857142857,308.26,301.73,21,2074-07-16,2074-06-26,176,6,21,17,7,1,4,2,0,301.4408,0.964931506849315,0.99972602739726,0.84958904109589,290.801610958904,299.871843137255,"balt"
37,304.0825,308.82,301.51,16,2074-08-02,2074-07-18,198,7,16,12,5,1,3,2,0,301.4408,0.955890410958904,1,0.837260273972603,290.801610958904,299.871843137255,"balt"
38,303.991875,307.18,302.26,16,2074-08-21,2074-08-06,217,8,16,14,3,0,3,1,0,301.4408,0.951506849315068,0.997534246575343,0.878356164383562,290.801610958904,299.871843137255,"balt"
39,302.9125,304.35,301.82,4,2074-08-28,2074-08-25,236,8,4,2,0,0,0,0,0,301.4408,0.910958904109589,0.965205479452055,0.854794520547945,290.801610958904,299.871843137255,"balt"
40,303.72,307.31,301.77,12,2074-09-11,2074-08-31,242,8,12,5,3,0,3,2,0,301.4408,0.943287671232877,0.998082191780822,0.852328767123288,290.801610958904,299.871843137255,"balt"
41,301.723333333333,301.98,301.45,3,2075-05-18,2075-05-16,135,5,3,0,0,0,0,0,1,301.4408,0.848493150684931,0.862465753424658,0.834520547945205,290.801610958904,299.871843137255,"balt"
42,302.67,303.41,301.82,4,2075-06-07,2075-06-04,154,6,4,2,0,0,0,0,0,301.4408,0.898904109589041,0.932054794520548,0.854794520547945,290.801610958904,299.871843137255,"balt"
43,302.7075,303.82,301.57,4,2075-06-13,2075-06-10,160,6,4,2,0,0,0,0,0,301.4408,0.9,0.946575342465753,0.840821917808219,290.801610958904,299.871843137255,"balt"
44,303.41,305.05,302.73,5,2075-06-24,2075-06-20,170,6,5,5,0,0,0,0,0,301.4408,0.932054794520548,0.977534246575342,0.902191780821918,290.801610958904,299.871843137255,"balt"
45,302.0125,302.26,301.72,4,2075-06-30,2075-06-27,177,6,4,0,0,0,0,0,0,301.4408,0.864383561643836,0.878356164383562,0.848493150684931,290.801610958904,299.871843137255,"balt"
46,303.673529411765,307.97,301.64,17,2075-07-20,2075-07-04,184,7,17,14,2,0,2,2,0,301.4408,0.942739726027397,0.999178082191781,0.845479452054794,290.801610958904,299.871843137255,"balt"
47,302.226666666667,302.47,302.02,3,2075-07-28,2075-07-26,206,7,3,0,0,0,0,0,0,301.4408,0.877534246575343,0.887671232876712,0.864931506849315,290.801610958904,299.871843137255,"balt"
