"hw.number","mean.var","max.var","min.var","length","end.date","start.date","start.doy","start.month","days.above.abs.thresh.1","days.above.abs.thresh.2","days.above.abs.thresh.3","days.above.abs.thresh.4","days.above.99th","days.above.99.5th","first.in.year","threshold","mean.var.quantile","max.var.quantile","min.var.quantile","mean.yearround.var","mean.seasonal.var","city"
1,302.265,302.67,301.86,2,2070-06-06,2070-06-05,155,6,2,1,0,0,0,0,1,301.4408,0.866575342465753,0.885205479452055,0.846849315068493,290.913736986301,299.95531372549,"balt"
2,303.024,303.7,302.3,5,2070-06-19,2070-06-15,165,6,5,4,0,0,0,0,0,301.4408,0.903287671232877,0.93041095890411,0.867671232876712,290.913736986301,299.95531372549,"balt"
3,302.795,303.11,302.48,2,2070-07-01,2070-06-30,180,6,2,1,0,0,0,0,0,301.4408,0.891780821917808,0.907945205479452,0.877260273972603,290.913736986301,299.95531372549,"balt"
4,302.688,303.09,302.11,5,2070-07-07,2070-07-03,183,7,5,3,0,0,0,0,0,301.4408,0.885479452054795,0.906575342465753,0.856712328767123,290.913736986301,299.95531372549,"balt"
5,301.855,301.86,301.85,2,2070-07-11,2070-07-10,190,7,2,0,0,0,0,0,0,301.4408,0.845479452054794,0.846849315068493,0.845479452054794,290.913736986301,299.95531372549,"balt"
6,303.507428571429,306.07,301.5,35,2070-08-16,2070-07-13,193,7,35,27,3,0,0,0,0,301.4408,0.921369863013699,0.988767123287671,0.83013698630137,290.913736986301,299.95531372549,"balt"
7,302.376666666667,303.01,301.77,6,2070-08-25,2070-08-20,231,8,6,2,0,0,0,0,0,301.4408,0.871780821917808,0.902739726027397,0.841369863013699,290.913736986301,299.95531372549,"balt"
8,301.695,301.83,301.56,2,2070-09-03,2070-09-02,244,9,2,0,0,0,0,0,0,301.4408,0.838904109589041,0.844383561643836,0.833972602739726,290.913736986301,299.95531372549,"balt"
9,301.8,301.89,301.71,2,2070-09-15,2070-09-14,256,9,2,0,0,0,0,0,0,301.4408,0.842191780821918,0.847671232876712,0.83972602739726,290.913736986301,299.95531372549,"balt"
10,302.454,303.39,302.06,5,2071-06-19,2071-06-15,165,6,5,1,0,0,0,0,1,301.4408,0.874794520547945,0.916164383561644,0.855068493150685,290.913736986301,299.95531372549,"balt"
11,302.942,303.58,301.8,5,2071-06-25,2071-06-21,171,6,5,4,0,0,0,0,0,301.4408,0.897808219178082,0.924657534246575,0.843287671232877,290.913736986301,299.95531372549,"balt"
12,304.86,305.44,304.05,3,2071-06-29,2071-06-27,177,6,3,3,1,0,0,0,0,301.4408,0.96958904109589,0.978082191780822,0.943561643835616,290.913736986301,299.95531372549,"balt"
13,303.48,304.22,302.74,2,2071-07-02,2071-07-01,181,7,2,2,0,0,0,0,0,301.4408,0.921369863013699,0.950684931506849,0.887945205479452,290.913736986301,299.95531372549,"balt"
14,302.96,303.97,302.16,5,2071-07-12,2071-07-08,188,7,5,3,0,0,0,0,0,301.4408,0.899452054794521,0.940821917808219,0.85972602739726,290.913736986301,299.95531372549,"balt"
15,304.07,307.23,302,12,2071-07-25,2071-07-14,194,7,12,10,2,0,1,1,0,301.4408,0.944383561643836,0.995068493150685,0.851780821917808,290.913736986301,299.95531372549,"balt"
16,304.431176470588,307.84,301.49,17,2071-08-14,2071-07-29,209,7,17,14,4,0,2,1,0,301.4408,0.958082191780822,0.997534246575343,0.829315068493151,290.913736986301,299.95531372549,"balt"
17,302.235,302.99,301.48,2,2071-08-19,2071-08-18,229,8,2,1,0,0,0,0,0,301.4408,0.865205479452055,0.901369863013699,0.829041095890411,290.913736986301,299.95531372549,"balt"
18,303.6725,304.47,302.77,8,2071-08-28,2071-08-21,232,8,8,8,0,0,0,0,0,301.4408,0.928767123287671,0.959178082191781,0.88958904109589,290.913736986301,299.95531372549,"balt"
19,302.305,302.43,302.18,2,2072-05-27,2072-05-26,146,5,2,0,0,0,0,0,1,301.4408,0.867671232876712,0.874520547945206,0.861369863013699,290.913736986301,299.95531372549,"balt"
20,301.945,302.2,301.69,2,2072-06-23,2072-06-22,173,6,2,0,0,0,0,0,0,301.4408,0.85013698630137,0.862739726027397,0.838904109589041,290.913736986301,299.95531372549,"balt"
21,302.95,303.46,302.33,3,2072-07-04,2072-07-02,183,7,3,2,0,0,0,0,0,301.4408,0.898904109589041,0.920547945205479,0.86986301369863,290.913736986301,299.95531372549,"balt"
22,303.48,304.92,302.21,5,2072-07-18,2072-07-14,195,7,5,4,0,0,0,0,0,301.4408,0.921369863013699,0.970958904109589,0.863561643835616,290.913736986301,299.95531372549,"balt"
23,302.553333333333,303.76,301.74,6,2072-07-28,2072-07-23,204,7,6,3,0,0,0,0,0,301.4408,0.881095890410959,0.932602739726027,0.840821917808219,290.913736986301,299.95531372549,"balt"
24,304.375,307.39,301.91,10,2072-08-09,2072-07-31,212,7,10,7,3,0,1,1,0,301.4408,0.957260273972603,0.995616438356164,0.848493150684931,290.913736986301,299.95531372549,"balt"
25,303.606,304.79,302.26,5,2072-08-16,2072-08-12,224,8,5,4,0,0,0,0,0,301.4408,0.926301369863014,0.968219178082192,0.866575342465753,290.913736986301,299.95531372549,"balt"
