275.72,272.01,272.01,274.25,267.46
272.16,265.13,265.13,269.11,263.81
274.9,272.46,272.46,274.13,270.96
275.99,276.06,276.06,275.23,280.43
272.22,269.11,269.11,270.62,269.44
273.64,268.19,268.19,270.62,269.58
274.57,273.03,273.03,274.49,268.91
273.11,272.42,272.42,272.12,270.73
271.81,267.65,267.65,269.51,267.61
267.74,263.88,263.88,265.38,263.28
270.57,267.32,267.32,268.67,265.02
270.74,267.19,267.19,268.54,267.31
270.76,270.15,270.15,269.41,270.51
277.76,273.74,273.74,274.38,274.34
281.96,279.63,279.63,280.61,282.76
276.99,276.61,276.61,275.93,278.63
277.78,272.92,272.92,273.81,274.47
274.79,270.34,270.34,271.27,271.79
270.89,269.32,269.32,269.23,270.09
268.61,265.23,265.23,266.68,265.11
269.4,269.3,269.3,268.54,267.39
264.47,264.24,264.24,265.23,267.97
263,260.01,260.01,260.37,264.15
268.56,262.43,262.43,264.6,263.98
273.11,269,269,271.19,269.5
271.68,268.14,268.14,269.43,270.38
271.41,267.97,267.97,269.54,267.74
274.7,270.58,270.58,273.13,267.72
285.84,285.04,285.04,285.43,285.44
285.49,284.85,284.85,285.09,286.05
281.9,282.18,282.18,281.78,284.19
279.17,278.41,278.41,278.04,279.35
283.99,284.02,284.02,284.64,282.48
277.97,280.26,280.26,278.61,280.56
277.42,275.98,275.98,276.98,275.45
279.59,279.95,279.95,278.9,281.72
274.88,274.92,274.92,273.89,277.22
272.48,272.46,272.46,271.59,273.94
269.4,267.3,267.3,268.17,267.75
274.06,273.43,273.43,272.93,274.5
278.05,277.08,277.08,276.73,279.16
280.26,278.14,278.14,278.43,279.3
282.38,281.98,281.98,282.13,284.59
272.73,271.91,271.91,271.65,272.91
269.36,269.29,269.29,268.44,273.11
265.07,263.06,263.06,263.77,263.24
268.73,266.74,266.74,267.23,266.01
277.1,277.32,277.32,277.24,278.17
280.09,278.7,278.7,279.37,280.33
277.8,276.27,276.27,276.1,277.05
279.67,277.73,277.73,277.16,278.6
287.73,286.36,286.36,286.94,285.92
290.31,287.01,287.01,288.77,284.32
291.72,290.15,290.15,290.89,288.76
281.85,280.71,280.71,281,281.5
277.01,276.45,276.45,276.02,277.71
286.15,282.74,282.74,284.54,282.29
277.2,275.53,275.53,276.11,277.36
269.35,265.95,265.95,267.33,266.45
276.23,275.3,275.3,275.47,276.57
274.67,272.68,272.68,273.25,274.36
266.99,266.72,266.72,266.38,268.99
269.39,269.22,269.22,269.01,270.23
277.22,274.84,274.84,274.99,274.07
278.56,277.28,277.28,277.49,278.78
274.19,270.19,270.19,271.44,270.29
279.67,275.61,275.61,277.26,274.16
285.74,284.72,284.72,285.19,283.42
274.93,272.74,272.74,273.41,274.88
273.11,271.52,271.52,271.41,273.49
275.72,274.25,274.25,273.99,275.49
275.95,275.03,275.03,274.56,276.13
276.45,276.03,276.03,275.34,277.35
277.65,277.41,277.41,276.57,278.71
279.39,279.33,279.33,278.27,279.13
