"301.57","298.26","295.55"
"300.2","297.86","295.62"
"299.97","297.08","295.69"
"301.23","297.35","295.75"
"305.06","299.81","296.14"
"307.52","301.54","296.44"
"304.92","299.97","296.15"
"300.72","297.87","295.71"
"299.38","297.08","295.77"
"301.55","298.69","296.14"
"303.49","299.39","296.17"
"303.62","300.38","296.56"
"306.14","301.55","296.98"
"308.07","302.36","297.35"
"305.56","300.75","297.27"
"302.87","299.32","296.96"
"301.85","298.8","296.9"
"302.58","299.1","297.1"
"304.07","300.25","297.47"
"302.96","301.37","298"
"298.5","299.35","298.01"
"297.55","298.5","297.69"
"297.7","298.43","297.33"
"298.4","298.62","297.09"
"299.85","299.18","297.04"
"297.82","298.24","297.02"
"296","297.46","296.88"
"297.42","297.86","297.04"
"299.45","298.56","296.81"
"298.49","298.61","296.84"
"299.72","297.93","296.55"
"294.6","297.08","296.66"
"289.57","294.57","295.98"
"297.67","296.13","295.62"
"297.28","297.47","295.52"
"298.1","296.34","294.82"
"301.43","298.08","295.08"
"301.34","299.09","295.68"
"300.52","299.31","296.01"
"300.55","299.03","296.23"
"301.62","299.53","296.56"
"300.77","299.76","296.85"
"301.11","299.99","297.25"
"301.25","300.5","297.53"
"299.07","300.48","297.78"
"297.15","299.08","297.78"
"293","297.21","297.55"
"298.96","299.18","297.4"
"300.25","299.91","297.29"
"294.51","298.16","297.11"
"292.47","296.55","296.79"
"294.47","297.23","296.95"
"295.33","297.35","296.97"
"292.34","295.84","296.54"
"291.55","295.11","296.41"
"298.24","297.54","296.79"
"299.06","298.89","296.99"
"298.2","298.45","296.92"
"298.52","298.13","296.83"
"296.86","297.72","296.85"
"289.74","295","296.46"
"287.12","294.36","296.16"
"288.17","294.81","296.13"
"291.15","294.37","295.68"
"293.69","295.26","295.33"
"296.87","295.72","295.18"
"299.29","296.77","295.47"
"299.29","297.94","295.87"
"297.31","296.64","295.71"
"297.07","297.06","295.95"
"296.23","295.52","295.53"
"301.76","299.02","296.19"
"301.43","298.83","296.2"
"301.76","298.85","296.15"
"297.57","298.32","296.07"
"283.69","294.06","295.69"
"278.91","289.82","294.71"
"286.26","291.95","294.62"
"288.83","292.18","294.44"
"291.29","293.19","294.11"
"288.65","292.3","293.61"
"291.09","293.03","293.6"
"294.42","294.63","293.57"
"289.54","292.75","293.06"
"294.62","293.2","292.84"
"293.8","294.99","293.44"
"293.63","293.71","293.08"
"297.06","295.84","293.58"
"293.91","295.41","293.62"
"281.64","291.74","293.34"
"279.47","289.87","293.08"
"280.46","289.96","293"
"278","288.88","292.65"
"278.89","288.63","292.51"
"282.39","289.48","292.44"
"285.66","290.14","292.18"
"287.46","291.98","292.35"
"283.75","290.41","292.16"
"285.04","289.07","291.71"
"291.66","292.92","292.4"
"292.27","292.37","292.01"
"290.85","292.18","292.01"
"285.38","289.56","291.5"
"285.71","288.87","291.19"
"282.33","289.71","291.76"
"273.2","285.03","290.59"
"275","285.97","290.73"
"277.63","287.98","291.24"
"274.45","285.09","290.12"
"281.46","287.82","290.46"
"285.28","290.07","290.95"
"272.45","284.35","289.75"
"271.24","283.43","289.32"
"278.13","287.25","290.19"
"279.73","286.65","289.81"
"287.55","290.35","290.35"
"280.88","287.71","289.92"
"275.99","284.96","289.18"
"276.71","285.55","289.3"
"280.44","286.82","289.5"
"279.94","286.47","289.35"
"281.13","286.78","289.26"
"287.65","288.74","289.41"
"290.08","289.98","289.71"
"283.97","287","289.11"
"287.65","288.73","289.37"
"280.62","286.41","289.01"
"279.59","286.23","289.1"
"285.11","287.77","289.24"
"288.32","290.33","289.8"
"276.75","287.5","289.65"
"269.17","281.78","288.07"
"271.1","282.43","288.16"
"275.36","285.84","288.88"
"273.87","284.47","288.52"
"272.93","283.25","288.08"
"273.36","283.86","288.09"
"260.06","280.1","287.73"
"260.23","277.52","286.49"
"267.14","279.88","286.94"
"264.56","278.85","286.47"
"268.67","280.31","286.57"
"268.88","280.92","286.72"
"269.81","280.78","286.48"
"264.49","279.18","286.13"
"260.57","277.24","285.5"
"263.8","279.48","285.89"
"261.54","278.87","285.82"
"270.64","280.89","285.99"
"273.7","281.45","285.94"
"271.94","281.31","285.6"
"273.67","281.59","285.72"
"275.57","281.87","285.57"
"267.56","278.58","284.82"
"269.44","279.55","284.81"
"276.3","283.28","285.9"
"278.49","284.21","285.89"
"276.15","283.77","285.83"
"267.13","280.21","285.29"
"263.87","277.18","284.26"
"272.68","280.71","284.8"
"277.85","283.8","285.9"
"270.73","280.83","285.09"
"267.5","277.83","284.03"
"271.44","280.24","284.62"
"274.46","281.25","284.84"
"277.95","283","285.12"
"276.47","283.15","285.25"
"272.08","280.54","284.54"
"274.71","282.99","285"
"276.31","284.23","285.55"
"268.97","280.36","284.88"
"259.31","276.19","283.78"
"262.73","277.84","283.92"
"268.42","280.1","284.4"
"271.36","281.21","284.76"
"269.21","279.56","284.13"
"274.97","281.96","284.5"
"268.95","280.17","284.32"
"259.11","274.3","282.73"
"259.46","274.81","282.78"
"261.76","275.01","282.69"
"264.98","277.16","282.89"
"268.27","279.31","283.7"
"261.92","276.39","282.82"
"265","276.17","282.55"
"271.01","280.08","283.38"
"255.65","272.95","281.76"
"256.07","273.18","281.72"
"260.32","276.09","282.54"
"251.58","271.11","281.06"
"266.65","277.11","282.2"
"273.64","279.75","282.86"
"267.3","277.43","282.21"
